#
 5.326723347194844e-02 1.262920200357797e-04 1.914411646559313e-05
 5.476652129482906e-02 1.533515269186520e-04 2.004017401237807e-05
 5.630800886846307e-02 4.671553378893967e-04 3.421402322896584e-05
 5.789288396943107e-02 1.109795267793478e-03 5.170997996682945e-05
 5.952236780610373e-02 1.529386629425223e-03 6.049799146574644e-05
 6.119771595963058e-02 1.904316079528538e-03 6.708811461157561e-05
 6.292021935141458e-02 1.836641859298152e-03 6.339115447363608e-05
 6.469120523781756e-02 1.481727812098582e-03 5.428644227914019e-05
 6.651203823286334e-02 1.011317918106403e-03 4.203059059111240e-05
 6.838412135972625e-02 6.199269940843187e-04 3.119022831233678e-05
 7.030889713181551e-02 3.774519731167817e-04 2.283864807305205e-05
 7.228784866428828e-02 3.578077008305959e-04 2.138337310160346e-05
 7.432250081684805e-02 4.930419662948971e-04 2.436228671955873e-05
 7.641442136870882e-02 7.300022654427037e-04 2.903296542325212e-05
 7.856522222663037e-02 8.744754927831501e-04 3.118445493399969e-05
 8.077656066695557e-02 7.588403694700115e-04 2.771279615336296e-05
 8.305014061260681e-02 5.361830760147083e-04 2.209125667695729e-05
 8.538771394602532e-02 2.842521962222164e-04 1.519333773936437e-05
 8.779108185906528e-02 1.023079474964631e-04 8.513783520492144e-06
 9.026209624088273e-02 2.993550327557276e-05 4.438425336605244e-06
 9.280266110488869e-02 2.989402630874704e-05 4.417359815932014e-06
 9.541473405586612e-02 3.424506507184243e-05 4.482698811626227e-06
 9.810032779838117e-02 2.726678228616228e-05 3.786562933100087e-06
 1.008615116876508e-01 1.766735892381445e-05 3.003542127721827e-06
 1.037004133240623e-01 3.272253798453191e-05 4.060244665546093e-06
 1.066192201925724e-01 6.845133190905700e-05 5.822062767324877e-06
 1.096201813482505e-01 1.011822737438972e-04 7.131423370030618e-06
 1.127056091492634e-01 9.038908239587927e-05 6.565640753358607e-06
 1.158778810386383e-01 5.638139509777032e-05 4.929769099837397e-06
 1.191394413761755e-01 3.062500833962437e-05 3.539399629154260e-06
 1.224928033219234e-01 4.865217728937954e-05 4.462114384859000e-06
 1.259405507726669e-01 5.169830543913571e-05 4.684004487089698e-06
 1.294853403529213e-01 5.096303134632996e-05 4.604538900705694e-06
 1.331299034619651e-01 3.279797945570188e-05 3.778106531043931e-06
 1.368770483784907e-01 1.127153221906776e-05 2.224929144136748e-06
 1.407296624244930e-01 7.145161108731904e-06 1.682231319009994e-06
 1.446907141900640e-01 1.009152385881302e-05 1.922724935942648e-06
 1.487632558208079e-01 5.650454827947376e-06 1.390658563986722e-06
 1.529504253696389e-01 6.247061893515324e-06 1.464445439357488e-06
 1.572554492147739e-01 1.124695841301356e-05 1.875847973062726e-06
 1.616816445457834e-01 1.300322255632348e-05 1.993878043737517e-06
 1.662324219196161e-01 1.123592958404197e-05 1.792162424277175e-06
 1.709112878885664e-01 1.075986660245652e-05 1.727018446415843e-06
 1.757218477022109e-01 9.743641312521449e-06 1.614116419505557e-06
 1.806678080853937e-01 6.699415870368459e-06 1.301624982335729e-06
 1.857529800944039e-01 5.957365285916053e-06 1.222806287074415e-06
 1.909812820535434e-01 6.051370580893587e-06 1.223455626354223e-06
 1.963567425743492e-01 4.945630318616849e-06 1.097740849409217e-06
 2.018835036597970e-01 6.176982964892124e-06 1.206547693470983e-06
 2.075658238958762e-01 4.499440274472248e-06 1.034031660379202e-06
 2.134080817329977e-01 5.587255670603576e-06 1.166138679298859e-06
 2.194147788597613e-01 8.114811876309761e-06 1.397192338433672e-06
 2.255905436716831e-01 5.162111513725825e-06 1.165976304349958e-06
 2.319401348375560e-01 5.042847095572934e-06 1.179956737780307e-06
 2.384684449661901e-01 5.742819112765180e-06 1.323164572400857e-06
 2.451805043763595e-01 4.618530847104265e-06 1.278322167866091e-06
 2.520814849728605e-01 5.905649797577357e-06 1.510301615954306e-06
